Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"TFT LCD Screen Display","Display Screen",1,9.95,"https://www.amazon.com/JESSINIE-Display-Arduino-128x160-Interface/dp/B0D31BGJWF/ref=sr_1_2?crid=RQXE5J8QTSL9&dib=eyJ2IjoiMSJ9.PNJD9_wHJ7DLcJkwmkWrJuVuqepf24DxzqIy52SEOf4BJexv38F81tG-iFucVSu9TmNxwLRYwkqx4u0gvfFXq7Y4zfKcFFCW_ygsXNHFev6fzNApQ3dCCi-IIBK_3u_We7I29-uc1wO2gi0AGMN_khTpcWLC6E1DQrMnPBgjISWvpqa0dBxR7QGC78eSnkGcJEpNh2vEEqMzmUjyJPFISpEiRkXi9yOrQw81ySc_Ys0.xCChQG1_J92SsvJ9RgqsGeU3pts0MhUJw_93iWA9tVY&dib_tag=se&keywords=1.8%22+TFT+display+%28ST7735+or+ILI9341%29&qid=1775619526&sprefix=1.8+tft+display+st7735+or+ili9341+%2Caps%2C143&sr=8-2","Amazon"
"ESP32","Microcontroller",1,9.39,"https://www.amazon.com/ESP-WROOM-32-Development-Dual-Mode-Microcontroller-Integrated/dp/B07WCG1PLV/ref=sr_1_5?adgrpid=1346902309239775&dib=eyJ2IjoiMSJ9.XBINg-sjhfF_gUtnMiKGjkLbh6eWVX2GbgtlgqTMcO2oXdDcAs-wA2gzRFGt9PIuzCGuBh2lIeWIc00NVUwx7PLk4-kywAdG_1P9GqHQYOI-bb_5fM40LGBDsiZu2d95SvgWLdxJY87yOSgvruh8FCnlnQdPFnv0TPdcvwwT7xxz3mx2f_6xAWAAayw9rEb4FJh4MQqIIzN3heV5fK5-41zjySwaDTtcMmd2QaU0EuU.aGg8BzuydEKams1dgB4lHD4asdIJ4pe7hyzQC4-Y4HU&dib_tag=se&hvadid=84181609218742&hvbmt=be&hvdev=c&hvlocphy=65831&hvnetw=o&hvqmt=e&hvtargid=kwd-84181741303446%3Aloc-190&hydadcr=18001_13443518&keywords=esp32%2Bboard&mcid=73ab3ad3f39e319fada867b0a05c875e&msclkid=72e99fe7e71115badcedf6322b5c2a4a&qid=1775619191&sr=8-5&th=1","Amazon"
